"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in USD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, per-item fees  and sales tax collection fees."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","account type","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","giftwrap credits tax","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"Oct 27, 2021 12:21:21 AM PDT","14949709291","Order","113-3450376-0730625","WodentWheelJr v2","Suncoast Sugar Gliders Wodent Wheel Junior Plus Nail-O-Matic Jr Nail Trimmer Insert","1","amazon.com","Standard Orders","Amazon","GARDEN CITY","NY","11530-1422","MarketplaceFacilitator","32.49","2.80","0","0","0","0","0","0","-2.80","-4.87","-6.28","0","0","21.34"
"Oct 27, 2021 1:03:25 AM PDT","14949709291","Order","113-5464261-2143400","Diced Papaya 8 oz","Diced Papaya 8 oz.","1","amazon.com","Standard Orders","Amazon","FAIR OAKS","CA","95628-7635","MarketplaceFacilitator","8.47","0.66","0","0","0","0","0","0","-0.66","-1.27","-3.64","0","0","3.56"
"Oct 27, 2021 2:00:47 AM PDT","14949709291","Order","112-6949530-3989011","2N-TLS9-VFZG","$2 Off Intro Offer! Happy Glider 1 lb 8 oz Bag of Nutrient Dense Premium Sugar Glider Food. New Flavors, Just Released 2021! (Honey 'N Nectar)","1","amazon.com","Standard Orders","Amazon","Marysville","WA","98270","MarketplaceFacilitator","17.90","1.66","0","0","0","0","0","0","-1.66","-2.69","-4.95","0","0","10.26"
"Oct 27, 2021 2:09:29 AM PDT","14949709291","Order","114-5664088-4175443","Blueberry Fortifier","Blueberry Fortifier Complete Vitamins and Calcium","1","amazon.com","Standard Orders","Amazon","WASHOUGAL","WA","98671-8531","MarketplaceFacilitator","18.85","1.58","0","0","0","0","0","0","-1.58","-2.83","-2.84","0","0","13.18"
"Oct 27, 2021 2:19:34 AM PDT","14949709291","Order","111-3025779-4365855","Spikes Premium 1.5 lb","Suncoast Sugar Gliders Spike's Delite Hedgehog Premium Diet Food 1.5 lb","1","amazon.com","Standard Orders","Amazon","NEWARK","OH","43055-7006","MarketplaceFacilitator","21.50","1.48","0","0","0","0","-1.08","0","-1.48","-3.06","-4.95","0","0","12.41"
"Oct 27, 2021 2:33:19 AM PDT","14949709291","Order","114-1656377-8843444","StainlessCup5oz3pack","Stainless Steel 5 oz Hanging pet Bowl/Cup/Dish for Food and Water (3 Pack)","1","amazon.com","Standard Orders","Amazon","MCKEESPORT","PA","15133-3617","MarketplaceFacilitator","16.75","1.01","0","0","0","0","0","0","-1.01","-2.51","-3.64","0","0","10.60"
"Oct 27, 2021 2:46:30 AM PDT","14949709291","Refund","111-9317370-1993807","Spikes Premium 1.5 lb","Suncoast Sugar Gliders Spike's Delite Hedgehog Premium Diet Food 1.5 lb","1","amazon.com","Standard Orders","Amazon","IRVINE","CA","92614-5042","MarketplaceFacilitator","-21.50","-1.67","0","0","0","0","0","0","1.67","2.58","0","0","0","-18.92"
"Oct 27, 2021 3:07:23 AM PDT","14949709291","Order","114-8624933-3182612","Spikes Premium 1.5 lb","Suncoast Sugar Gliders Spike's Delite Hedgehog Premium Diet Food 1.5 lb","1","amazon.com","Standard Orders","Amazon","MANSFIELD","TX","76063-3755","MarketplaceFacilitator","21.50","1.77","0","0","0","0","0","0","-1.77","-3.23","-4.95","0","0","13.32"
"Oct 27, 2021 3:16:39 AM PDT","14949709291","Order","114-1584569-3564218","Happy Glider Fruity 1.5 lb","Happy Glider Fruity Flavor Sugar Glider Food 1.5 lb","1","amazon.com","Standard Orders","Amazon","Corpus Christi","TX","78418","MarketplaceFacilitator","17.90","1.33","0","0","0","0","-0.90","0","-1.33","-2.55","-4.95","0","0","9.50"
"Oct 27, 2021 5:35:32 AM PDT","14949709291","Order","113-6707717-1168207","Happy Glider Fruity 1.5 lb","Happy Glider Fruity Flavor Sugar Glider Food 1.5 lb","1","amazon.com","Standard Orders","Amazon","PUYALLUP","WA","98374-3896","MarketplaceFacilitator","17.90","1.79","0","0","0","0","0","0","-1.79","-2.69","-4.95","0","0","10.26"
"Oct 27, 2021 5:35:39 AM PDT","14949709291","Order","112-0051559-7398615","WodentWheelSenior","Suncoast Sugar Gliders Wodent Wheel Senior & Tail Shield - 11"" Running Wheel for Small Pets","1","amazon.com","Standard Orders","Amazon","BURLINGTON","VT","05401-1709","MarketplaceFacilitator","26.99","1.89","0","0","0","0","0","0","-1.89","-4.05","-7.18","0","0","15.76"
